Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
20.50,20.60,0.10,1,Male,29,0.00,0.01,0.48
20.60,20.70,0.10,1,Male,33,0.00,0.01,0.51
20.70,20.80,0.10,1,Male,40,0.00,0.01,0.41
20.80,20.90,0.10,1,Male,29,0.00,0.61,0.52
20.90,21.00,0.10,1,Male,36,0.00,0.08,0.43
21.00,21.10,0.10,1,Male,33,0.00,1.00,0.44
21.10,21.20,0.10,1,Male,32,0.00,0.71,0.48
21.20,21.30,0.10,1,Male,29,0.00,0.05,0.47
21.30,21.40,0.10,1,Male,37,0.00,0.99,0.43
21.40,21.50,0.10,1,Male,36,0.01,0.75,0.43
21.50,21.60,0.10,1,Male,38,0.00,0.98,0.47
21.60,21.70,0.10,1,Male,34,0.00,0.72,0.48
21.70,21.80,0.10,1,Male,32,0.00,0.98,0.46
21.80,21.90,0.10,1,Male,38,0.00,0.99,0.42
21.90,22.00,0.10,1,Male,38,0.15,0.78,0.40
22.00,22.10,0.10,1,Male,37,0.04,0.29,0.40
22.10,22.20,0.10,1,Male,33,0.17,0.31,0.43
22.20,22.30,0.10,1,Male,34,0.01,0.82,0.39
22.30,22.40,0.10,1,Male,34,0.02,0.97,0.42
22.40,22.50,0.10,1,Male,33,0.02,0.98,0.42
22.50,22.60,0.10,1,Male,31,0.01,0.99,0.43
22.60,22.70,0.10,1,Male,36,0.00,0.38,0.41
22.70,22.80,0.10,1,Male,32,0.00,0.47,0.45
22.80,22.90,0.10,1,Male,31,0.00,0.80,0.48
22.90,23.00,0.10,1,Male,31,0.00,0.93,0.48
23.00,23.10,0.10,1,Male,33,0.00,0.93,0.45
23.10,23.20,0.10,1,Male,38,0.00,0.98,0.45
23.20,23.30,0.10,1,Male,36,0.00,0.99,0.42
23.30,23.40,0.10,1,Male,33,0.00,0.93,0.47
23.40,23.50,0.10,1,Male,34,0.00,0.87,0.45
23.50,23.60,0.10,1,Male,34,0.00,0.91,0.43
23.60,23.70,0.10,1,Male,37,0.00,0.79,0.44
23.70,23.80,0.10,1,Male,36,0.00,0.79,0.45
23.80,23.90,0.10,1,Male,36,0.00,0.99,0.46
23.90,24.00,0.10,1,Male,35,0.00,0.22,0.42
24.00,24.10,0.10,1,Male,32,0.00,0.99,0.49
24.10,24.20,0.10,1,Male,32,0.00,1.00,0.49
24.20,24.30,0.10,1,Male,29,0.00,1.00,0.48
24.30,24.40,0.10,1,Male,32,0.00,1.00,0.49
24.40,24.50,0.10,1,Male,32,0.00,0.98,0.47
24.50,24.60,0.10,1,Male,36,0.00,0.95,0.40
24.60,24.70,0.10,1,Male,34,0.00,0.98,0.45
24.70,24.80,0.10,1,Male,33,0.00,0.30,0.46
24.80,24.90,0.10,1,Male,33,0.05,0.74,0.40
24.90,25.00,0.10,1,Male,31,0.00,0.01,0.46
25.00,25.10,0.10,1,Male,32,0.00,0.11,0.47
25.10,25.20,0.10,1,Male,29,0.00,0.55,0.47
25.20,25.30,0.10,1,Male,30,0.00,0.16,0.45
25.30,25.40,0.10,1,Male,32,0.00,0.01,0.45
25.40,25.50,0.10,1,Male,31,0.00,0.90,0.44
25.50,25.60,0.10,1,Male,34,0.00,0.03,0.46
25.60,25.70,0.10,1,Male,33,0.00,0.07,0.46
25.70,25.80,0.10,1,Male,27,0.00,0.08,0.48
25.80,25.90,0.10,1,Male,29,0.00,0.01,0.47
25.90,26.00,0.10,1,Male,28,0.00,0.00,0.45
26.00,26.10,0.10,1,Male,26,0.00,0.02,0.45
26.10,26.20,0.10,1,Male,26,0.00,0.17,0.45
26.20,26.30,0.10,1,Male,25,0.00,0.09,0.45
26.30,26.40,0.10,1,Male,25,0.00,0.19,0.47
26.40,26.50,0.10,1,Male,30,0.00,0.02,0.44
26.50,26.60,0.10,1,Male,29,0.00,0.94,0.45
26.60,26.70,0.10,1,Male,36,0.00,0.00,0.36
26.70,26.80,0.10,1,Male,32,0.00,0.15,0.42
26.80,26.90,0.10,1,Male,30,0.01,0.17,0.43
26.90,27.00,0.10,1,Male,27,0.14,0.48,0.40
27.00,27.10,0.10,1,Male,30,0.00,0.96,0.41
27.10,27.20,0.10,1,Male,34,0.00,0.99,0.38
27.20,27.30,0.10,1,Male,37,0.00,0.00,0.39
27.30,27.40,0.10,1,Male,36,0.00,0.00,0.39
27.40,27.50,0.10,1,Male,31,0.00,0.02,0.40
27.50,27.60,0.10,1,Male,30,0.00,0.28,0.41
27.60,27.70,0.10,1,Male,34,0.00,0.06,0.40
27.70,27.80,0.10,1,Male,31,0.00,0.35,0.42
27.80,27.90,0.10,1,Male,29,0.00,0.08,0.45
27.90,28.00,0.10,1,Male,29,0.00,0.56,0.44
